sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
131,23200.000000,0.2323296822,-0.4739744188,0.2323296822,-0.7063041009,0.0000000000,415.873693
132,23300.000000,0.2927054687,-0.3764606183,0.2927054687,-0.6691660870,0.0000000000,366.741888
133,23400.000000,0.2550681190,-0.4460617254,0.2550681190,-0.7011298444,0.0000000000,379.276209
134,23500.000000,0.2633718734,-0.4297154412,0.2633718734,-0.6930873146,0.0000000000,431.549268
135,23600.000000,0.2320596106,-0.4685552070,0.2320596106,-0.7006148176,0.0000000000,375.093143
136,23700.000000,0.2544959120,-0.4524580782,0.2544959120,-0.7069539903,0.0000000000,418.295975
137,23800.000000,0.2278352723,-0.4912789709,0.2278352723,-0.7191142432,0.0000000000,395.105101
138,23900.000000,0.2201151515,-0.4718969558,0.2201151515,-0.6920121074,0.0000000000,417.465892
139,24000.000000,0.2304942892,-0.4315367085,0.2304942892,-0.6620309976,0.0000000000,416.090630
140,24100.000000,0.2435409218,-0.4330517001,0.2435409218,-0.6765926219,0.0000000000,388.222954
141,24200.000000,0.2484737439,-0.4798521017,0.2484737439,-0.7283258456,0.0000000000,382.795076
142,24300.000000,0.2984466711,-0.3547121712,0.2984466711,-0.6531588423,0.0000000000,396.954914
143,24400.000000,0.2234299714,-0.4492207223,0.2234299714,-0.6726506937,0.0000000000,400.460979
144,24500.000000,0.2383483739,-0.4579961946,0.2383483739,-0.6963445684,0.0000000000,398.056863
145,24600.000000,0.1922823010,-0.4861853591,0.1922823010,-0.6784676601,0.0000000000,397.628393
146,24700.000000,0.2218317361,-0.4672337401,0.2218317361,-0.6890654762,0.0000000000,389.688773
147,24800.000000,0.2435320339,-0.4785347841,0.2435320339,-0.7220668180,0.0000000000,402.033524
148,24900.000000,0.2743465565,-0.4322693491,0.2743465565,-0.7066159056,0.0000000000,371.057324
149,25000.000000,0.2649609097,-0.4214883129,0.2649609097,-0.6864492226,0.0000000000,418.792803
150,25100.000000,0.2673035246,-0.4032897400,0.2673035246,-0.6705932646,0.0000000000,396.795726
151,25200.000000,0.2363665132,-0.4766034866,0.2363665132,-0.7129699998,0.0000000000,402.510542
152,25300.000000,0.2228031425,-0.4930290905,0.2228031425,-0.7158322330,0.0000000000,407.270618
153,25400.000000,0.2497675378,-0.4312129345,0.2497675378,-0.6809804724,0.0000000000,378.260942
154,25500.000000,0.2266925625,-0.4402133490,0.2266925625,-0.6669059115,0.0000000000,380.724489
155,25600.000000,0.2442163924,-0.4479229816,0.2442163924,-0.6921393740,0.0000000000,410.696383
156,25700.000000,0.2509084088,-0.4273271611,0.2509084088,-0.6782355699,0.0000000000,390.525276
157,25800.000000,0.2485926328,-0.4338875713,0.2485926328,-0.6824802041,0.0000000000,412.694698
158,25900.000000,0.2363958340,-0.4660589709,0.2363958340,-0.7024548049,0.0000000000,405.704258
159,26000.000000,0.2092946416,-0.4815285366,0.2092946416,-0.6908231781,0.0000000000,382.276402
160,26100.000000,0.2760046695,-0.4264589452,0.2760046695,-0.7024636148,0.0000000000,400.348889
161,26200.000000,0.2826801448,-0.4047629639,0.2826801448,-0.6874431087,0.0000000000,374.857962
162,26300.000000,0.2394725480,-0.4875676430,0.2394725480,-0.7270401910,0.0000000000,397.713899
163,26400.000000,0.3193822871,-0.3511728350,0.3193822871,-0.6705551221,0.0000000000,416.221747
164,26500.000000,0.2939591878,-0.3913532225,0.2939591878,-0.6853124103,0.0000000000,378.528970
165,26600.000000,0.2706351038,-0.4253714188,0.2706351038,-0.6960065226,0.0000000000,418.793704
166,26700.000000,0.2501431572,-0.4592160716,0.2501431572,-0.7093592287,0.0000000000,403.608849
167,26800.000000,0.3136025524,-0.3768561682,0.3136025524,-0.6904587206,0.0000000000,381.988719
168,26900.000000,0.2595646869,-0.4590313687,0.2595646869,-0.7185960556,0.0000000000,400.889919
169,27000.000000,0.2806214279,-0.4323438180,0.2806214279,-0.7129652459,0.0000000000,400.027184
170,27100.000000,0.2373042758,-0.4631496955,0.2373042758,-0.7004539713,0.0000000000,401.886081
171,27200.000000,0.2339630622,-0.4635551755,0.2339630622,-0.6975182377,0.0000000000,407.283929
172,27300.000000,0.2987511166,-0.3945597754,0.2987511166,-0.6933108920,0.0000000000,375.248965
173,27400.000000,0.2732920759,-0.4120082544,0.2732920759,-0.6853003303,0.0000000000,382.840531
174,27500.000000,0.2659382553,-0.4317456442,0.2659382553,-0.6976838995,0.0000000000,397.013171
175,27600.000000,0.2459371167,-0.4714028670,0.2459371167,-0.7173399837,0.0000000000,396.208654
176,27700.000000,0.2726932624,-0.4266961436,0.2726932624,-0.6993894060,0.0000000000,388.151816
177,27800.000000,0.2828384958,-0.4181841055,0.2828384958,-0.7010226013,0.0000000000,418.201856
178,27900.000000,0.2934021132,-0.4398341709,0.2934021132,-0.7332362842,0.0000000000,388.766137
179,28000.000000,0.2714978132,-0.4436837002,0.2714978132,-0.7151815133,0.0000000000,382.005084
180,28100.000000,0.2838139225,-0.3796293207,0.2838139225,-0.6634432432,0.0000000000,382.502578
181,28200.000000,0.2894775155,-0.4640659514,0.2894775155,-0.7535434670,0.0000000000,391.393414
182,28300.000000,0.2730055754,-0.4132542677,0.2730055754,-0.6862598431,0.0000000000,389.572572
183,28400.000000,0.2522271661,-0.4489979008,0.2522271661,-0.7012250669,0.0000000000,400.292002
184,28500.000000,0.2952836494,-0.4203442319,0.2952836494,-0.7156278813,0.0000000000,378.777502
185,28600.000000,0.2944506346,-0.4336709167,0.2944506346,-0.7281215514,0.0000000000,359.907701
186,28700.000000,0.2574201874,-0.4583038605,0.2574201874,-0.7157240480,0.0000000000,416.756787
187,28800.000000,0.2781814513,-0.4376631113,0.2781814513,-0.7158445626,0.0000000000,367.579175
188,28900.000000,0.2889944318,-0.3730750221,0.2889944318,-0.6620694538,0.0000000000,408.687812
189,29000.000000,0.2615816770,-0.4657963582,0.2615816770,-0.7273780352,0.0000000000,396.071899
190,29100.000000,0.2897029886,-0.4156861745,0.2897029886,-0.7053891632,0.0000000000,380.989621
191,29200.000000,0.2575211584,-0.4590205710,0.2575211584,-0.7165417294,0.0000000000,402.744979
192,29300.000000,0.2452404580,-0.5022665086,0.2452404580,-0.7475069666,0.0000000000,398.098246
193,29400.000000,0.3179248675,-0.3673584320,0.3179248675,-0.6852832996,0.0000000000,400.020842
194,29500.000000,0.2754368075,-0.4249633163,0.2754368075,-0.7004001238,0.0000000000,394.902728
195,29600.000000,0.2359134629,-0.4763869507,0.2359134629,-0.7123004136,0.0000000000,439.975889
196,29700.000000,0.2470587366,-0.4602849778,0.2470587366,-0.7073437143,0.0000000000,400.436314
197,29800.000000,0.2544335584,-0.4929594357,0.2544335584,-0.7473929941,0.0000000000,381.507943
198,29900.000000,0.2820279991,-0.4241985601,0.2820279991,-0.7062265592,0.0000000000,403.328331
199,30000.000000,0.2565538294,-0.4574866613,0.2565538294,-0.7140404907,0.0000000000,380.893152
200,30100.000000,0.2628209572,-0.4560573675,0.2628209572,-0.7188783246,0.0000000000,403.079761
201,30200.000000,0.2636794790,-0.4062479026,0.2636794790,-0.6699273816,0.0000000000,392.349172
202,30300.000000,0.2680258510,-0.4314782494,0.2680258510,-0.6995041004,0.0000000000,398.696906
203,30400.000000,0.2601972322,-0.4433547885,0.2601972322,-0.7035520208,0.0000000000,403.333460
204,30500.000000,0.2322313762,-0.4782974527,0.2322313762,-0.7105288289,0.0000000000,394.590772
205,30600.000000,0.2605323076,-0.4342036236,0.2605323076,-0.6947359312,0.0000000000,394.181603
206,30700.000000,0.2554188246,-0.4838122610,0.2554188246,-0.7392310856,0.0000000000,434.017357
207,30800.000000,0.2415177010,-0.4710973393,0.2415177010,-0.7126150403,0.0000000000,397.508825
208,30900.000000,0.3093050643,-0.3693716698,0.3093050643,-0.6786767341,0.0000000000,376.447108
209,31000.000000,0.2394459389,-0.4796841999,0.2394459389,-0.7191301388,0.0000000000,421.008446
210,31100.000000,0.3082030321,-0.3704922024,0.3082030321,-0.6786952344,0.0000000000,379.781651
211,31200.000000,0.2667064000,-0.4428134094,0.2667064000,-0.7095198094,0.0000000000,402.876605
212,31300.000000,0.2490328762,-0.4448334502,0.2490328762,-0.6938663264,0.0000000000,387.767312
213,31400.000000,0.2763241353,-0.4034147261,0.2763241353,-0.6797388613,0.0000000000,433.547544
214,31500.000000,0.2748608548,-0.4055235934,0.2748608548,-0.6803844482,0.0000000000,380.077085
215,31600.000000,0.3245776031,-0.3710665422,0.3245776031,-0.6956441453,0.0000000000,373.731740
216,31700.000000,0.2764391860,-0.4332688056,0.2764391860,-0.7097079915,0.0000000000,390.193588
217,31800.000000,0.2873916533,-0.4072788329,0.2873916533,-0.6946704863,0.0000000000,414.463155
218,31900.000000,0.2370530206,-0.4717748180,0.2370530206,-0.7088278386,0.0000000000,424.201927
219,32000.000000,0.2246720283,-0.4850618283,0.2246720283,-0.7097338567,0.0000000000,420.344990
220,32100.000000,0.2531909075,-0.4198706905,0.2531909075,-0.6730615980,0.0000000000,379.331217
221,32200.000000,0.2289106621,-0.4976411300,0.2289106621,-0.7265517921,0.0000000000,387.233447
222,32300.000000,0.2804706820,-0.3982783901,0.2804706820,-0.6787490721,0.0000000000,395.957539
223,32400.000000,0.2982663298,-0.3579339362,0.2982663298,-0.6562002660,0.0000000000,401.980827
224,32500.000000,0.2764532627,-0.3942236263,0.2764532627,-0.6706768890,0.0000000000,381.757101
