time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
7.400000,100.0000,0.0000,100.8633,3.1110,80.2703,4.7218,105.7463,3.5097,113.0019,6.6472,-3704.8145,22.9738,0.8370,0.4989,0.0000,0.0000,0.0000,0.0000
7.500000,100.0000,0.0000,100.6629,1.8652,79.3509,6.1632,105.9040,4.1444,111.7076,8.6764,-3703.8479,27.0797,0.7270,0.7817,0.0000,0.0000,0.0000,0.0000
7.600000,100.0000,0.0000,99.2559,3.1665,80.0683,7.0099,106.5494,3.6843,112.7175,9.8683,-3699.5820,24.3146,0.9416,0.5449,0.0000,0.0000,0.0000,0.0000
7.700000,100.0000,0.0000,101.0026,4.2430,79.0557,5.1315,105.2075,2.8440,111.2920,7.2239,-3708.2935,18.8230,0.6661,0.4840,0.0000,0.0000,0.0000,0.0000
7.800000,100.0000,0.0000,99.9618,3.9385,80.3005,6.9907,106.1469,3.2560,113.0444,9.8413,-3702.1676,21.2576,0.6408,0.4430,0.0000,0.0000,0.0000,0.0000
7.900000,100.0000,0.0000,99.0458,3.8431,82.1021,6.7249,107.2578,4.6657,115.5807,9.4671,-3695.0706,30.5508,1.0492,0.4517,0.0000,0.0000,0.0000,0.0000
8.000000,100.0000,0.0000,99.0146,2.9415,80.9064,3.8657,107.6331,4.6079,113.8974,5.4420,-3692.6154,29.8552,0.8062,0.6759,0.0000,0.0000,0.0000,0.0000
8.100000,100.0000,0.0000,100.0925,3.0870,83.5371,5.9163,106.6571,4.0627,117.6008,8.3287,-3698.9199,26.8334,0.7549,0.4279,0.0000,0.0000,0.0000,0.0000
8.200000,100.0000,0.0000,99.2488,4.3249,83.5035,5.2179,107.0097,4.4629,117.5535,7.3456,-3696.6581,29.0238,1.0883,0.6065,0.0000,0.0000,0.0000,0.0000
8.300000,100.0000,0.0000,100.3541,4.4394,82.7929,4.9038,106.1840,4.1685,116.5531,6.9034,-3702.0166,27.1808,0.6192,0.6433,0.0000,0.0000,0.0000,0.0000
8.400000,100.0000,0.0000,99.5688,4.2541,84.2124,5.3678,106.2572,3.9646,118.5514,7.5567,-3701.5133,25.7285,1.0385,0.5601,0.0000,0.0000,0.0000,0.0000
8.500000,100.0000,0.0000,99.5308,4.3028,82.1234,2.4345,106.7421,4.8779,115.6106,3.4272,-3698.4592,31.8889,0.9948,0.6931,0.0000,0.0000,0.0000,0.0000
8.600000,100.0000,0.0000,100.4930,3.6639,82.6216,6.7617,106.0180,4.3217,116.3119,9.5189,-3703.1187,28.0835,0.7927,0.4361,0.0000,0.0000,0.0000,0.0000
8.700000,100.0000,0.0000,100.4263,5.2336,82.5724,5.1564,105.7177,3.6093,116.2427,7.2590,-3705.0116,23.5956,1.3100,0.7279,0.0000,0.0000,0.0000,0.0000
8.800000,100.0000,0.0000,101.1137,3.7110,79.7040,5.0314,105.5352,3.3958,112.2046,7.0831,-3706.1888,22.2734,0.9779,0.8141,0.0000,0.0000,0.0000,0.0000
8.900000,100.0000,0.0000,99.2764,3.6624,81.0732,7.2247,106.3684,4.2900,114.1322,10.1707,-3700.8275,28.1151,1.1195,0.8815,0.0000,0.0000,0.0000,0.0000
9.000000,100.0000,0.0000,100.1434,3.3646,80.6727,5.3647,105.9421,4.1169,113.5684,7.5523,-3703.5939,26.8667,1.2312,0.8396,0.0000,0.0000,0.0000,0.0000
9.100000,100.0000,0.0000,100.2624,4.1758,79.2145,7.5454,106.0363,3.3145,111.5156,10.6221,-3702.8988,21.7745,1.0184,0.6379,0.0000,0.0000,0.0000,0.0000
9.200000,100.0000,0.0000,100.1083,4.4210,81.7889,7.5684,105.0799,3.6684,115.1397,10.6545,-3709.2042,24.0677,1.3918,1.0639,0.0000,0.0000,0.0000,0.0000
9.300000,100.0000,0.0000,98.9537,3.0861,80.2121,4.0217,106.3826,4.4992,112.9200,5.6617,-3700.7552,29.2395,1.1538,0.9654,0.0000,0.0000,0.0000,0.0000
9.400000,100.0000,0.0000,100.1693,3.2004,81.1281,6.4393,105.0868,3.4304,114.2094,9.0650,-3709.1367,22.5822,1.1235,0.8590,0.0000,0.0000,0.0000,0.0000
9.500000,100.0000,0.0000,98.1253,3.2965,83.2293,7.2959,106.7836,4.1438,117.1675,10.2709,-3698.0953,26.9439,1.4085,0.8220,0.0000,0.0000,0.0000,0.0000
