# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.042  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
4150.000000  -234.58201599  -3766.35937500  1739.94702148
4160.000000  -380.74377441  -9166.40722656  4416.41113281
4170.000000  -268.77368164  -4702.54980469  2226.59472656
4180.000000  569.78454590  -3028.80200195  1791.84838867
4190.000000  125.12819672  -2996.97607422  1510.50451660
4200.000000  -578.86053467  -6480.33935547  2958.61352539
4210.000000  -1090.32788086  -7868.03564453  3412.91308594
4220.000000  -359.94799805  -6082.02343750  2882.58056641
4230.000000  -936.63293457  -7833.92919922  3503.78906250
4240.000000  -311.65676880  -7050.56738281  3391.42968750
4250.000000  -254.50312805  -6736.33593750  3248.60791016
4260.000000  -614.86480713  -4172.39550781  1813.04064941
4270.000000  -39.35180664  -1369.72521973  685.91912842
4280.000000  -28.54921722  -1443.26000977  691.67486572
4290.000000  -263.71578979  -3060.93969727  1412.46118164
4300.000000  -55.40906143  -66.76896667  7.50619602
4310.000000  316.70526123  -148.77641296  238.28749084
4320.000000  -49.87235260  -97.56525421  22.77865028
4330.000000  -102.40068054  -359.72460938  129.76631165
4340.000000  574.01263428  -234.59512329  396.15097046
4350.000000  200.96939087  55.37473679  70.81555939
4360.000000  477.57354736  -388.83798218  412.20785522
4370.000000  151.58245850  -142.64865112  145.60159302
4380.000000  -180.22630310  -266.28878784  40.94845581
4390.000000  -655.76666260  -1993.04467773  660.68310547
4400.000000  -454.81588745  -976.00646973  257.84609985
4410.000000  -521.21112061  -1228.71484375  344.99243164
4420.000000  -691.35235596  -1771.37353516  559.68951416
4430.000000  -25.82505798  -373.70755005  181.93347168
4440.000000  -328.25244141  -1411.20117188  536.62640381
4450.000000  -411.43493652  -910.11126709  233.06146240
4460.000000  -223.43424988  -384.74737549  79.72976685
4470.000000  -354.34158325  -829.69885254  213.20852661
4480.000000  159.05241394  50.54227829  51.53582382
4490.000000  290.03991699  -42.76571655  170.80731201
4500.000000  840.31341553  -1373.30358887  1097.48645020
4510.000000  402.04855347  -1200.89746094  795.27441406
4520.000000  291.11059570  -494.70144653  419.29852295
4530.000000  551.88238525  -429.54867554  464.66659546
4540.000000  199.25958252  -656.04742432  405.72082520
4550.000000  498.93951416  -79.21617889  276.73794556
4560.000000  357.14016724  -442.64669800  420.30029297
4570.000000  525.29504395  -2040.86608887  1263.08911133
4580.000000  215.16683960  98.04860687  53.54097366
4590.000000  -161.77770996  -667.77325439  257.09121704
4600.000000  301.21313477  -586.58258057  432.06097412
4610.000000  157.66117859  -159.86816406  167.15197754
4620.000000  439.62954712  -2323.27783203  1357.96093750
4630.000000  -148.17591858  -1709.56396484  804.49133301
4640.000000  -624.14410400  -3924.62451172  1641.12207031
4650.000000  -753.87554932  -4842.52392578  2064.39526367
4660.000000  -974.09643555  -4311.28076172  1718.08044434
4670.000000  -600.64569092  -2840.70141602  1132.54614258
4680.000000  -482.93276978  -1450.11535645  492.55767822
4690.000000  -1096.39550781  -4278.10498047  1622.07263184
4700.000000  264.70819092  -8.95317650  134.11589050
4710.000001  28.62448120  13.71541595  5.29564190
4720.000001  361.91452026  52.76274872  149.91844177
4730.000001  -714.96820068  -1976.75646973  640.28417969
4740.000001  167.80084229  -771.70190430  441.11267090
4750.000001  -68.01995087  -361.68762207  154.51884460
4760.000001  -951.29254150  -3648.19702148  1341.37609863
4770.000001  -405.74578857  -1670.84973145  625.32049561
4780.000001  -640.93536377  -1522.80017090  453.15753174
4790.000001  -33.13131714  -453.25469971  210.29382324
4800.000001  184.07696533  -33.28380203  113.60004425
4810.000001  -386.65710449  -754.51837158  183.42742920
4820.000001  -264.98532104  -523.37420654  127.83219147
4830.000001  -824.37738037  -3418.05102539  1288.57702637
4840.000001  -715.01422119  -1933.28930664  610.33776855
4850.000001  -1394.47363281  -5212.48828125  1962.38122559
4860.000001  -1447.51977539  -9335.59277344  3906.24169922
4870.000001  -493.20678711  -4128.26074219  1795.22485352
4880.000001  -28.47720146  -1754.29711914  843.38415527
4890.000001  -680.87500000  -4519.81640625  1931.68823242
4900.000001  -963.58984375  -5390.79785156  2184.23681641
4910.000001  -1191.62719727  -6533.66503906  2669.81738281
4920.000001  -562.72692871  -4987.81347656  2238.31152344
4930.000001  -70.40946198  -8706.88281250  4278.93505859
4940.000001  -325.18130493  -4932.46630859  2279.06835938
4950.000001  -129.35386658  -2176.64868164  1040.52587891
4960.000001  -541.29980469  -3318.02514648  1420.14587402
4970.000001  -409.93151855  -1302.48571777  465.96463013
4980.000001  -532.33477783  -1395.04370117  438.37820435
4990.000001  -886.83227539  -3639.34106445  1415.26293945
5000.000001  -489.87347412  -1829.03417969  666.06213379
5010.000001  -401.32723999  -990.49359131  289.20718384
5020.000001  -506.40066528  -2762.95825195  1178.59716797
5030.000001  -43.34606171  -681.84429932  304.72277832
5040.000001  217.53248596  -832.03308105  527.74658203
5050.000001  -281.20831299  -2245.47070312  953.87780762
5060.000001  -259.54803467  -790.47454834  263.02227783
5070.000001  -89.68982697  -130.19654846  19.43826294
5080.000001  -445.92050171  -976.96435547  267.11755371
5090.000001  -38.08090591  -67.28143311  12.49776173
5100.000001  -1074.12707520  -4982.39746094  1927.81250000
