time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
25.100000,55.1281,16.4818,102.8681,32.9395,451.1817,113.0603,49.9373,14.6138
25.200000,54.4841,16.1639,131.2057,18.4687,301.4038,38.5562,48.3716,13.1818
25.300000,53.8979,15.9116,130.6489,28.5763,451.9133,128.3245,48.3356,13.4877
25.400000,53.2504,15.5424,99.3079,33.5889,329.5626,52.7188,47.0661,12.0227
25.500000,52.6104,15.1573,135.7570,31.5663,433.2124,100.5682,46.5485,11.5510
25.600000,52.0481,14.8822,78.8677,27.8555,397.6777,91.7384,46.7083,12.2538
25.700000,51.4891,14.5551,134.1770,25.1820,339.9696,111.6301,46.1475,11.4359
25.800000,50.9667,14.2349,81.2554,24.2305,432.8450,104.4145,46.0213,11.2413
25.900000,50.3612,13.8006,106.7921,35.9420,311.7588,34.1390,44.6091,9.6628
26.000000,49.9429,13.6019,96.2428,16.3025,398.0690,93.7296,45.9366,11.6924
26.100000,49.4595,13.4025,83.8110,20.4813,328.9132,59.2978,44.8753,11.5566
26.200000,49.0286,13.2258,116.6217,20.7176,319.2600,92.4270,44.9434,11.5340
26.300000,48.5961,13.0116,69.2845,21.4037,351.3641,69.4318,44.4639,10.9817
26.400000,48.1590,12.7840,111.4912,27.2908,288.6692,19.9928,44.0148,10.6539
26.500000,47.7004,12.5156,74.1599,14.2762,361.3872,77.2314,43.3466,9.9440
26.600000,47.3337,12.3982,93.8091,29.3366,296.9875,51.6654,43.8253,11.3110
26.700000,46.9070,12.1620,85.5017,20.2388,304.2670,82.7402,42.8551,9.9409
26.800000,46.4490,11.8428,69.4668,24.0483,316.7201,54.2152,42.0990,8.7913
26.900000,46.0830,11.7356,90.9482,17.7495,294.4104,44.4687,42.5811,10.7262
27.000000,45.7180,11.5059,59.6702,15.0675,336.3325,70.6256,42.2537,9.3473
27.100000,45.4104,11.3678,89.7079,26.5248,281.6033,41.1519,42.4878,10.0351
27.200000,45.0534,11.2119,63.4928,9.9099,293.6543,84.6486,41.6444,9.7453
27.300000,44.7442,11.0360,76.3661,17.5459,301.1139,36.6152,41.8128,9.3996
27.400000,44.3670,10.7729,75.1356,16.0595,275.8541,41.7248,40.7848,8.2583
