time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
16.300000,300.0000,0.0000,301.4195,7.5320,369.5337,22.0348,318.6510,12.3677
16.400000,300.0000,0.0000,303.4426,7.2420,365.2599,14.9457,321.3651,20.1391
16.500000,300.0000,0.0000,302.6082,6.3755,360.8662,22.4663,316.2720,12.1987
16.600000,300.0000,0.0000,298.6284,5.7627,388.0028,13.5900,312.9009,17.8692
16.700000,300.0000,0.0000,301.9105,4.6890,346.1879,19.9648,313.7039,22.2428
16.800000,300.0000,0.0000,295.1109,2.4387,366.2346,16.3972,319.0853,13.8017
16.900000,300.0000,0.0000,300.1350,4.5855,358.3111,6.6943,315.7793,17.4007
17.000000,300.0000,0.0000,294.8677,2.5030,391.1138,35.4719,312.0177,13.3291
17.100000,300.0000,0.0000,298.0675,5.0410,383.3512,5.4600,310.5099,11.9689
17.200000,300.0000,0.0000,300.2184,5.3748,350.5912,27.2935,312.6872,10.8972
17.300000,300.0000,0.0000,296.7567,11.2567,360.1617,11.8677,315.6742,15.1753
17.400000,300.0000,0.0000,295.0320,2.2127,355.3902,20.5923,315.8831,7.8629
17.500000,300.0000,0.0000,290.6301,7.0113,382.1564,20.0978,313.7088,11.9357
17.600000,300.0000,0.0000,293.7176,6.0929,358.4564,22.0193,313.0882,8.9302
17.700000,300.0000,0.0000,303.1866,2.5931,353.0616,30.9935,303.6307,5.2733
17.800000,300.0000,0.0000,296.4632,4.2926,362.9316,9.0967,310.1464,2.8576
17.900000,300.0000,0.0000,294.5334,2.9956,374.8142,37.4106,311.7453,9.0329
18.000000,300.0000,0.0000,297.6310,2.0329,383.1396,23.8005,307.6464,5.9067
18.100000,300.0000,0.0000,298.4281,0.5002,361.8623,30.3640,312.9352,13.3466
18.200000,300.0000,0.0000,301.1595,5.1006,353.8397,11.7213,311.7490,9.5681
18.300000,300.0000,0.0000,296.3714,5.4194,359.0451,9.0814,319.0240,5.7275
18.400000,300.0000,0.0000,307.7322,5.2641,380.0693,34.1387,305.6205,7.4757
18.500000,300.0000,0.0000,300.9215,0.7720,382.4966,2.7342,317.6369,5.3142
18.600000,300.0000,0.0000,303.5763,3.0580,358.3461,28.5332,315.8807,5.5221
18.700000,300.0000,0.0000,304.6572,1.5434,362.0045,23.8461,317.8129,6.8294
18.800000,300.0000,0.0000,305.2810,5.4521,376.1569,18.6835,308.4458,13.1877
18.900000,300.0000,0.0000,300.9720,2.6207,371.0297,29.8899,314.2819,8.3656
19.000000,300.0000,0.0000,296.4370,6.2852,383.4988,1.8842,315.2630,17.7175
19.100000,300.0000,0.0000,307.0316,5.2899,344.7402,23.8620,305.8066,16.1858
19.200000,300.0000,0.0000,299.2091,3.7647,352.1877,24.1583,313.3140,5.8881
19.300000,300.0000,0.0000,294.7835,2.2677,374.2278,37.4158,311.6929,10.7634
19.400000,300.0000,0.0000,292.2275,10.2246,370.3467,12.4030,318.2759,14.4750
19.500000,300.0000,0.0000,299.0133,3.1114,378.1899,15.6796,308.2780,14.8053
19.600000,300.0000,0.0000,305.9588,1.5656,341.2918,17.1570,300.3374,10.3470
19.700000,300.0000,0.0000,295.8714,5.9357,374.7255,17.5803,306.1400,16.0226
19.800000,300.0000,0.0000,289.7933,6.0340,374.3915,40.4542,310.7807,8.4767
19.900000,300.0000,0.0000,294.4956,3.9023,363.6034,15.3350,304.3557,8.6166
20.000000,300.0000,0.0000,301.9642,0.9676,361.0397,36.3090,303.4093,7.8625
20.100000,300.0000,0.0000,322.2664,26.2433,445.1086,150.3360,313.7394,6.7910
20.200000,300.0000,0.0000,340.2995,53.5453,512.4790,180.7289,305.3004,6.6758
20.300000,300.0000,0.0000,340.9167,51.9067,478.5936,150.3478,306.9749,10.2053
20.400000,300.0000,0.0000,337.4281,45.9823,478.5063,148.9453,309.9784,5.2925
20.500000,300.0000,0.0000,337.7293,50.0856,437.1717,84.7257,312.6852,2.5986
20.600000,300.0000,0.0000,339.8643,52.8475,440.5850,116.6686,308.2565,3.9029
20.700000,300.0000,0.0000,340.7064,53.5356,419.7223,38.1878,307.0557,11.3139
20.800000,300.0000,0.0000,324.4693,40.1451,488.7940,147.6144,309.1841,8.6251
20.900000,300.0000,0.0000,314.2044,36.3892,540.0883,190.7723,317.7374,10.3817
21.000000,300.0000,0.0000,332.7681,36.7613,474.6734,140.5036,309.2738,7.2005
21.100000,300.0000,0.0000,530.4773,127.0746,582.0660,276.4036,306.5607,11.3171
21.200000,300.0000,0.0000,332.1063,41.6243,593.4651,83.1726,293.5617,8.6559
21.300000,300.0000,0.0000,543.7690,126.2661,364.4748,143.6025,311.0301,6.3467
21.400000,300.0000,0.0000,345.6469,44.4990,760.2231,276.2323,306.9296,10.4354
21.500000,300.0000,0.0000,487.2367,119.0340,333.9026,74.2075,299.3242,9.9687
21.600000,300.0000,0.0000,459.3115,125.2651,626.3462,262.7694,298.1139,3.4095
