time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
10.500000,100.0000,0.0000,130.8771,22.3366,197.4827,91.2506,102.2279,4.1804,278.0097,128.4596,-3728.1207,27.7366,502.0559,448.5328,-1225.6315,1048.0884,754.8535,615.0767
10.600000,100.0000,0.0000,146.9888,28.3282,246.6040,119.5757,102.0011,3.2057,347.1610,168.3347,-3729.5292,21.4218,531.0258,550.2622,-1182.0120,1073.1412,716.9218,575.3859
10.700000,100.0000,0.0000,135.2837,26.0348,173.7242,80.4720,102.7761,5.6693,244.5633,113.2859,-3724.6996,38.0518,484.0148,491.5456,-1122.7389,1034.4893,664.0650,554.4924
10.800000,100.0000,0.0000,144.5405,29.5618,244.8705,109.2627,101.9190,5.5993,344.7206,153.8165,-3730.3884,37.6264,850.6951,896.8714,-1523.5010,1365.7900,735.1565,574.1152
10.900000,100.0000,0.0000,128.0471,17.3364,256.0152,142.7966,99.3102,4.7134,360.4097,201.0244,-3747.7355,31.8821,625.0991,602.7235,-1351.8162,1188.1117,745.1343,600.4682
11.000000,100.0000,0.0000,143.5065,30.5630,201.5239,68.3394,100.1355,6.2384,283.6987,96.2059,-3742.4329,42.0679,1061.0267,1063.2632,-1693.0051,1546.6831,709.1065,592.4181
11.100000,100.0000,0.0000,125.9102,14.4890,292.9692,154.4281,98.4437,6.9981,412.4325,217.3988,-3753.9987,47.5547,648.1914,686.5872,-1267.4754,1199.9849,640.8030,544.1563
11.200000,100.0000,0.0000,132.0126,24.7338,225.9221,91.7750,99.0639,6.7767,318.0457,129.1978,-3749.7547,45.8465,913.0301,730.4520,-1441.5600,1183.1844,588.6606,491.5451
11.300000,100.0000,0.0000,134.3244,21.6191,231.9508,84.9932,98.2565,7.3959,326.5328,119.6506,-3755.3593,50.4069,644.2446,589.9922,-1190.4082,992.5640,571.0738,440.5179
11.400000,100.0000,0.0000,120.6062,15.0447,269.7686,131.4147,96.7787,6.7683,379.7713,185.0013,-3765.2800,46.6809,859.3006,488.5166,-1427.7298,832.6312,606.9332,370.3599
11.500000,100.0000,0.0000,135.7128,24.1741,210.4481,73.2896,96.1803,7.2085,296.2619,103.1747,-3769.4638,49.7198,675.8185,501.0606,-1201.3041,840.4888,545.8576,360.1049
11.600000,100.0000,0.0000,123.1174,16.2911,247.2791,103.7782,96.7740,7.0497,348.1114,146.0955,-3765.3762,48.6735,670.5502,442.9399,-1142.4218,785.6236,503.4866,385.3469
11.700000,100.0000,0.0000,124.9460,18.2167,250.1015,109.8070,95.4638,7.2700,352.0846,154.5827,-3774.3815,50.0653,650.0326,466.6295,-1154.4835,894.6991,522.6662,434.4792
11.800000,100.0000,0.0000,128.4546,18.8457,212.5830,76.6093,94.1530,7.4323,299.2674,107.8480,-3783.4576,51.7137,637.2593,437.5589,-1135.9232,824.4898,524.8615,436.8624
11.900000,100.0000,0.0000,122.1788,15.7727,255.6194,114.3882,94.0755,7.1071,359.8525,161.0320,-3783.9252,49.7351,670.6142,475.7976,-1175.5174,938.4287,532.6694,488.1177
12.000000,100.0000,0.0000,120.8162,13.9337,234.9691,100.4076,93.6387,8.2805,330.7818,141.3505,-3787.2422,57.8695,609.8888,596.3395,-1121.8046,1106.7234,532.2946,545.0500
12.100000,100.0000,0.0000,124.8738,17.2305,217.6787,85.7363,94.2000,7.6190,306.4409,120.6968,-3783.1783,52.9692,729.7218,678.0018,-1286.4439,1255.5807,595.1282,621.1137
12.200000,100.0000,0.0000,113.8204,10.0682,266.7649,121.7441,93.2364,8.2582,375.5428,171.3874,-3790.0226,57.7224,649.3121,599.0815,-1236.3497,1148.7632,598.2526,563.6442
12.300000,100.0000,0.0000,121.7856,14.4688,206.9972,78.4347,92.7801,8.9494,291.4038,110.4178,-3793.3748,62.2558,782.8511,537.4695,-1391.8571,970.1270,648.3639,502.6513
